year,district_city,area_type,assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,assault_on_women_with_intent_to_outrage_her_modesty_victims_v,assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,assault_on_women_i,assault_on_women_v,assault_on_women_r,sexual_harassment_total_i,sexual_harassment_total_v,sexual_harassment_total_r,sh_at_work_premises_i,sh_at_work_premises_v,sh_at_work_premises_r,sh_in_public_transport_i,sh_in_public_transport_v,sh_in_public_transport_r,sh_in_shelter_homes_for_women_and_children_i,sh_in_shelter_homes_for_women_and_children_v,sh_in_shelter_homes_for_women_and_children_r,sh_in_other_places_i,sh_in_other_places_v,sh_in_other_places_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,voyeurism_i,voyeurism_v,voyeurism_r,stalking_i,stalking_v,stalking_r,rape_sec_376_i,rape_v,rape_r,attempt_to_commit_rape_sec_376_511_i,attempt_to_commit_rape_v,attempt_to_commit_rape_r
2023,Madurai,district,51,51,4.7,39,39,3.6,8,8,0.7,1,1,0.1,0,0,0.0,0,0,0.0,7,7,0.6,1,1,0.1,3,3,0.3,0,0,0.0,14,14,1.3,5,5,0.5
2023,Mayiladuthurai,district,69,69,14.1,58,58,11.9,6,6,1.2,0,0,0.0,0,0,0.0,0,0,0.0,6,6,1.2,3,3,0.6,0,0,0.0,2,2,0.4,3,3,0.6,2,2,0.4
2023,Nagapattinam,district,22,22,5.9,15,15,4.0,4,4,1.1,0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.1,1,1,0.3,0,0,0.0,2,2,0.5,7,7,1.9,3,3,0.8
2023,Namakkal,district,33,33,3.6,33,33,3.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0
2023,Nilgiris,district,9,9,2.3,9,9,2.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2023,Perambalur,district,72,72,23.8,65,65,21.5,5,5,1.7,0,0,0.0,0,0,0.0,0,0,0.0,5,5,1.7,1,1,0.3,1,1,0.3,0,0,0.0,7,7,2.3,2,2,0.7
2023,Pudukottai,district,36,55,4.2,36,55,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.9,0,0,0.0
2023,Ramnathapuram,district,18,18,2.5,18,18,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.2,4,4,0.6
2023,Ranipet,district,14,14,2.2,5,5,0.8,3,3,0.5,0,0,0.0,0,0,0.0,1,1,0.2,2,2,0.3,4,4,0.6,1,1,0.2,1,1,0.2,2,2,0.3,0,0,0.0
2023,Salem,district,40,40,2.8,40,40,2.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,0.6,0,0,0.0
2023,Sivagangai,district,34,34,4.8,24,24,3.4,4,4,0.6,0,0,0.0,0,0,0.0,4,4,0.6,0,0,0.0,1,1,0.1,3,3,0.4,2,2,0.3,9,9,1.3,1,1,0.1
2023,Tenkasi,district,70,70,9.2,38,38,5.0,16,16,2.1,0,0,0.0,0,0,0.0,0,0,0.0,16,16,2.1,4,4,0.5,3,3,0.4,9,9,1.2,8,8,1.0,0,0,0.0
2023,Thanjavur,district,104,104,8.1,104,104,8.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,0.8,3,3,0.2
2023,Theni,district,33,33,5.0,22,22,3.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,3,3,0.5,6,6,0.9,10,10,1.5,4,4,0.6
2023,Thirunelveli,district,90,90,14.3,51,51,8.1,17,17,2.7,2,2,0.3,0,0,0.0,6,6,1.0,9,9,1.4,6,6,1.0,8,8,1.3,8,8,1.3,9,9,1.4,2,2,0.3
2023,Thiruvallur,district,22,22,1.7,13,13,1.0,2,2,0.2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,1,1,0.1,3,3,0.2,3,3,0.2,8,8,0.6,0,0,0.0
2023,Thiruvannamalai,district,22,22,1.7,15,15,1.1,5,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,1,1,0.1,0,0,0.0,1,1,0.1,16,16,1.2,1,1,0.1
2023,Thiruvarur,district,39,39,5.8,34,34,5.0,2,2,0.3,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,1,1,0.1,0,0,0.0,2,2,0.3,7,7,1.0,0,0,0.0
2023,Thoothukudi,district,68,68,7.3,35,35,3.7,22,22,2.4,0,0,0.0,0,0,0.0,0,0,0.0,22,22,2.4,6,6,0.6,3,3,0.3,2,2,0.2,11,11,1.2,3,3,0.3
2023,Tiruppattur,district,9,9,1.4,5,5,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,2,2,0.3,4,4,0.6,2,2,0.3
2023,Tiruppur,district,10,10,0.9,10,10,0.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.5,0,0,0.0
2023,Trichy,district,49,49,4.9,42,42,4.2,6,6,0.6,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,0,0,0.0,0,0,0.0,1,1,0.1,13,13,1.3,2,2,0.2
2023,Vellore,district,14,14,1.7,14,14,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.6,0,0,0.0
2023,Villupuram,district,28,28,2.5,28,28,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,14,14,1.3,0,0,0.0
2023,Virudhunagar,district,35,35,3.4,16,16,1.5,10,10,1.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,1.0,3,3,0.3,2,2,0.2,4,4,0.4,15,15,1.4,0,0,0.0
2023,Cyber Cell,special_unit,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2023,Other Units,special_unit,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2023,Railway Chennai,special_unit,5,5,,5,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2023,Railway Trichy,special_unit,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,,0,0,
